Xloc,Yloc,Landuse,Rock,Cd,Co,Cr,Cu,Ni,Pb,Zn
238.6,307.7,3,3,1.74,9.32,38.32,25.72,21.32,77.36,92.56
254.4,197.2,2,2,1.335,10.0,40.2,24.76,29.72,77.88,73.56
280.7,334.7,2,3,1.61,10.6,47.0,8.88,21.4,30.8,64.8
430.8,193.3,3,2,2.15,11.92,43.52,22.7,29.72,56.4,90.0
438.3,108.1,3,5,1.565,16.32,38.52,34.32,26.2,66.4,88.4
324.4,451.9,3,5,1.145,3.508,40.4,31.28,22.04,72.4,75.2
392.5,378.5,3,5,0.894,15.08,30.52,27.44,21.76,60.0,72.4
211.6,349.8,3,1,0.525,4.2,25.4,66.12,9.72,141.0,72.08
184.2,98.9,3,1,0.24,4.52,27.96,22.32,11.32,52.4,56.4
170.9,184.3,3,3,0.625,12.08,33.32,18.72,16.88,41.6,75.6
380.0,457.8,3,1,3.873,9.84,46.0,22.24,21.64,46.0,143.2
269.9,119.9,1,1,1.425,7.56,40.8,8.76,15.72,56.4,66.8
303.3,438.39999999999986,3,5,0.455,2.3680000000000003,19.24,21.36,7.08,38.36,37.88
423.2000000000001,158.8,1,2,1.025,8.84,28.32,5.88,17.4,52.8,47.6
475.0,136.9,3,2,0.775,11.96,35.6,17.6,23.76,32.92,70.8
234.1,413.5,3,1,0.62,5.32,31.0,18.52,10.8,42.0,46.8
282.7,366.7,3,5,0.4,4.68,20.52,3.96,6.68,21.48,25.2
304.3,469.2000000000001,3,1,0.625,3.536,25.2,8.24,11.32,29.92,31.32
168.7,117.40000000000002,3,1,0.355,3.64,18.4,21.56,6.64,46.8,39.56
223.5,238.6,3,5,1.585,12.44,40.56,40.88,25.08,88.68,114.28
312.2,169.5,3,2,1.885,12.92,44.0,35.92,34.72,72.88,120.28
221.9,277.4,2,2,1.3,13.04,32.48,8.8,31.52,56.52,71.76
318.5,209.2,3,2,1.575,11.2,35.72,22.12,35.0,43.68,90.68
351.4,511.9,2,1,4.191,9.28,52.0,15.48,21.76,33.36,145.6
445.9,262.4,1,2,1.485,6.84,19.0,11.16,15.84,34.64,82.8
433.9,147.3,3,5,0.915,10.8,32.72,39.8,18.6,64.8,86.0
492.0,141.7,3,2,0.705,8.56,30.28,15.76,21.96,39.52,66.4
364.8,378.0,3,2,0.62,14.16,28.56,48.8,24.44,63.2,78.0
291.6,491.6,1,1,0.885,6.28,27.92,4.52,13.88,37.16,46.8
312.7,169.1,3,2,1.96,13.4,45.2,47.12,35.12,93.92,123.84
344.1,471.89999999999986,2,5,3.155,9.28,62.4,48.8,24.28,55.6,151.6
333.6,461.30000000000007,3,5,1.28,5.92,38.52,24.96,23.28,49.2,81.6
364.9,267.4,1,2,1.785,7.44,23.72,9.652,17.72,58.4,58.0
387.5,492.4,3,5,1.895,11.48,52.0,25.28,26.72,35.6,141.6
261.2,411.4,3,1,0.57,4.88,27.32,33.8,7.44,58.4,47.6
234.0,414.1,3,1,0.54,5.48,35.72,17.4,10.6,36.88,53.2
381.1,131.8,3,2,0.75,12.6,36.2,16.4,26.6,39.8,80.8
366.1,378.8,3,2,0.875,14.64,28.88,65.2,20.8,69.6,76.4
434.0,373.6,2,3,2.818,11.24,35.04,29.12,21.96,46.0,80.8
297.2,98.8,2,3,3.805,9.16,67.04,112.04,28.88,229.56,219.32
228.6,306.8,3,3,0.605,9.68,27.32,28.8,12.8,56.6,67.16
181.3,211.6,3,3,1.003,11.32,33.48,21.2,20.56,48.8,110.0
337.9,430.8,3,5,1.9,8.52,46.4,10.28,24.8,36.44,83.6
196.5,280.7,3,3,0.895,12.6,41.6,60.72,24.16,89.68,102.44
355.9,400.89999999999986,2,3,4.02,6.16,60.8,21.08,21.96,52.0,101.6
226.7,418.9,3,1,0.56,6.64,35.12,12.72,11.12,39.64,57.2
296.5,100.2,2,3,1.39,10.36,45.6,57.2,24.6,129.2,149.2
312.0,146.9,1,3,1.91,2.12,31.12,11.6,8.0,69.16,50.4
345.4,465.4,2,5,1.07,7.8,38.24,10.88,19.92,29.88,70.8
107.1,156.7,2,3,0.795,9.96,29.08,9.92,15.28,37.48,65.6
357.3,354.2,3,5,0.55,9.56,26.6,50.4,16.0,77.2,76.0
333.1,460.9,3,5,1.255,7.0,42.8,49.6,25.44,80.4,101.6
354.1,173.9,4,3,2.055,6.32,29.8,10.8,20.8,43.6,59.36
330.3,396.3,3,3,1.22,11.0,34.04,51.6,20.32,80.8,90.0
331.6,298.7,3,5,0.975,14.6,33.0,30.1,23.6,48.8,83.2
187.9,117.1,3,1,0.465,4.0,24.64,23.32,9.16,54.8,44.4
112.20000000000002,226.7,3,2,1.145,11.08,37.08,14.8,31.56,47.6,74.4
442.3,107.8,3,5,1.525,16.92,38.6,22.0,26.8,46.8,87.6
124.1,115.5,1,1,1.455,4.52,20.2,7.28,12.68,36.52,39.6
170.6,184.8,3,3,1.12,11.92,34.84,20.72,19.96,41.2,83.2
326.0,542.0,3,2,1.819,11.72,38.04,17.6,28.6,35.8,82.4
408.1,89.7,3,5,0.495,11.2,22.4,14.32,10.92,32.76,50.4
307.7,292.6,2,2,2.12,10.12,35.32,12.32,21.52,42.4,64.8
340.6,474.10000000000014,2,5,2.15,7.32,48.0,28.96,19.72,42.8,120.8
369.9,380.0,3,2,0.65,11.6,27.44,35.56,19.28,80.8,74.0
161.9,288.3,3,3,0.84,6.8,30.56,22.84,16.08,50.4,58.8
319.6,181.4,1,2,3.925,12.92,25.6,47.4,26.12,84.16,92.36
344.7,473.30000000000007,2,5,1.98,8.4,40.8,27.12,17.68,39.92,108.0
300.9,473.80000000000007,3,1,0.45,3.536,25.64,12.44,10.0,34.0,39.4
345.2,473.60000000000014,2,5,2.96,7.2,45.2,38.96,15.0,70.4,148.4
290.8,126.29999999999998,3,1,1.685,9.84,31.28,9.4,14.72,34.56,84.32
457.8,151.2,3,2,1.305,13.52,45.52,17.5,27.2,38.96,77.6
351.2,512.4,2,1,4.227,9.64,48.4,16.88,22.92,34.64,136.8
331.2,299.1,3,5,0.98,12.52,32.6,22.7,19.4,41.6,72.8
215.90000000000003,204.1,3,2,1.57,10.44,37.72,17.44,28.32,49.6,81.6
474.2,138.1,3,2,0.86,11.88,32.72,15.12,23.48,32.84,63.6
359.2,402.7,2,3,2.17,10.84,55.2,12.52,29.48,37.68,74.4
315.2,327.2,3,2,1.56,12.8,42.6,34.0,23.52,76.4,94.0
478.10000000000014,137.5,3,2,0.81,10.88,27.44,12.08,20.84,36.28,58.8
231.9,240.5,3,5,1.71,12.84,43.4,56.24,26.96,104.68,125.4
361.7,208.4,3,2,0.845,12.8,33.72,27.92,26.2,78.8,79.6
227.8,92.9,3,1,0.35700000000000004,4.08,19.36,13.24,6.56,35.4,46.8
379.2,269.5,1,2,1.535,6.76,20.32,5.88,13.4,55.2,52.4
411.30000000000007,270.0,1,2,1.285,1.5519999999999998,8.72,13.64,7.16,84.4,65.2
304.3,469.80000000000007,3,1,1.82,3.924,27.36,7.6,10.44,27.04,39.8
327.1,216.0,3,5,0.945,13.32,37.8,37.4,32.6,59.04,104.36
143.3,152.5,3,5,1.605,7.36,67.6,13.48,16.2,49.6,75.2
318.4,209.80000000000004,3,2,2.23,11.92,37.8,24.6,37.72,44.88,96.6
367.5,429.3,2,3,0.89,8.6,37.68,4.4,22.96,26.76,66.0
368.1,569.0,2,2,1.898,12.64,54.0,15.16,28.36,59.2,86.0
246.1,342.3,4,5,0.37,3.14,22.6,15.72,6.08,29.36,47.2
457.6,141.1,3,2,1.38,11.28,37.6,15.64,25.76,34.44,71.6
222.30000000000004,57.99999999999999,3,2,0.285,9.6,38.0,14.16,24.52,44.0,76.0
303.1,120.09999999999998,3,3,0.61,6.44,21.84,16.4,10.36,52.56,51.24
334.7,250.5,1,2,0.625,6.96,33.2,5.36,19.2,41.2,43.6
246.5,400.3,3,1,0.325,3.192,21.4,9.72,4.72,24.64,35.08
317.5,210.2,3,2,1.985,12.2,38.4,18.92,37.2,42.68,89.84
373.3,97.4,3,2,0.95,8.92,40.8,15.4,26.52,36.6,74.0
308.5,167.7,3,2,2.04,11.8,40.4,26.2,29.8,63.92,107.2
259.5,363.8,3,5,0.325,3.712,14.52,17.52,4.76,44.4,40.8
427.9,328.3,3,2,0.83,13.36,33.6,19.2,24.64,36.36,84.4
293.3,97.8,2,3,0.8,12.4,31.44,166.4,16.0,146.8,100.4
359.0,403.3,2,3,2.08,7.92,56.4,11.52,24.84,37.56,79.6
288.3,123.70000000000002,3,1,2.55,8.52,31.24,12.12,16.12,36.56,96.96
242.90000000000003,162.0,3,3,2.535,11.84,52.4,31.96,26.64,77.6,126.8
233.3,241.7,3,5,1.435,9.12,37.44,53.2,21.32,107.6,110.32
62.6,165.2,1,2,0.375,7.28,33.32,4.2,14.4,37.12,46.4
296.9,77.8,2,2,1.93,12.44,43.04,77.32,33.76,157.28,166.28
97.1,157.6,3,3,1.215,10.08,29.28,9.8,15.2,35.64,64.0
139.2,184.6,3,3,1.05,10.6,39.24,7.44,20.0,37.68,48.4
254.0,332.0,3,3,1.26,9.76,45.32,17.2,17.6,53.6,62.8
173.8,177.1,3,3,0.685,11.92,33.64,19.64,16.24,41.6,76.0
224.30000000000004,303.1,3,3,0.705,11.8,29.92,19.2,14.6,34.0,59.88
365.6,263.0,1,2,1.385,2.072,9.72,9.232,5.36,80.4,49.2
232.50000000000003,414.3,3,1,0.505,5.48,34.0,14.0,10.92,33.24,54.4
455.0,141.6,3,2,1.74,12.4,44.32,18.1,27.72,41.6,73.6
432.5,143.6,3,5,0.56,11.6,26.92,19.4,13.72,36.76,57.2
366.9,429.1,2,3,1.917,8.44,33.48,8.4,18.72,35.12,59.6
187.7,118.6,3,1,0.32,3.8,18.2,26.16,6.44,45.2,39.88
304.4,112.3,3,3,0.63,12.0,31.28,18.04,18.68,38.24,80.76
300.1,258.1,2,2,4.18,9.6,45.32,8.2,22.2,42.04,81.72
313.6,209.1,3,2,1.11,14.2,34.8,17.92,30.32,38.72,79.0
263.3,365.0,3,5,0.425,3.092,22.12,16.2,5.04,50.4,61.6
372.1,423.9,3,3,0.28,8.0,25.96,18.0,12.28,41.2,46.4
233.3,236.7,3,5,1.39,12.36,42.12,59.16,28.2,101.92,135.88
403.8,235.4,1,4,2.805,12.2,39.2,10.5,32.92,44.0,65.6
311.7,170.2,3,2,1.71,14.12,42.8,30.0,35.0,58.6,106.36
182.4,99.9,3,1,0.165,3.752,18.6,23.64,7.08,56.4,44.0
285.0,189.0,1,2,1.36,2.8160000000000003,10.76,8.68,7.08,53.6,28.88
250.2,398.8,3,1,0.24,3.76,18.92,20.72,5.2,22.36,32.24
144.3,150.9,3,5,1.445,7.76,61.2,15.4,20.68,50.8,75.6
200.8,135.0,3,1,0.515,5.0,32.56,16.04,8.96,35.04,50.4
297.8,400.89999999999986,3,5,0.56,6.52,24.4,8.352,12.4,25.4,49.2
166.2,142.5,3,3,0.905,11.24,37.4,44.4,16.56,82.0,78.4
158.7,108.0,3,1,0.605,5.16,29.28,26.24,11.44,54.0,54.0
399.4,381.4,3,5,2.423,14.48,45.6,32.52,28.32,80.4,84.0
438.3,227.9,1,2,0.785,7.84,35.92,6.72,22.72,43.6,60.8
290.1,491.9,1,1,0.81,4.64,28.6,5.48,14.92,28.8,42.0
415.60000000000014,124.2,2,4,1.1,7.84,32.2,5.72,17.92,32.48,44.0
447.5,352.6,4,2,0.951,15.28,29.24,38.96,20.36,78.8,70.8
258.0,365.4,3,5,0.275,3.552,16.2,7.48,4.64,20.2,33.44
70.1,199.7,1,3,1.58,12.6,60.8,9.84,32.2,64.8,86.0
364.9,388.7,3,2,1.06,11.48,41.6,26.44,29.24,51.2,80.8
262.3,85.3,3,3,2.58,11.64,45.2,29.24,27.36,59.2,106.4
131.5,197.5,2,3,3.68,11.12,52.0,14.44,28.72,56.4,89.6
365.6,267.0,1,2,1.875,11.12,36.12,9.52,25.4,70.0,65.2
442.6,82.1,2,2,0.805,13.0,48.32,8.76,26.0,27.2,61.6
288.2,369.3,3,5,0.535,4.6,20.8,8.76,5.4,27.04,32.92
110.79999999999998,153.5,2,3,2.055,8.08,50.4,60.0,23.16,195.6,108.0
484.0,108.9,2,2,0.555,10.28,27.64,10.8,19.6,36.52,64.8
146.8,219.2,2,3,1.51,10.92,57.6,10.88,30.68,44.4,80.4
231.9,410.3,3,1,0.58,5.48,36.0,20.52,10.92,34.88,50.4
358.5,404.0,2,3,1.97,8.0,51.2,24.64,25.76,66.0,99.2
364.7,378.6,3,2,0.765,13.84,29.72,42.0,20.96,70.8,90.8
231.0,273.2,2,2,0.735,12.72,39.0,17.68,23.24,39.2,79.04
396.2,200.9,3,2,1.445,12.4,43.52,42.92,34.4,78.4,104.4
347.0,555.5,2,2,2.234,13.48,45.2,12.52,29.68,48.4,64.0
183.9,99.5,3,1,0.225,4.24,24.88,27.72,10.12,55.6,56.0
170.6,116.5,3,1,0.74,4.36,20.4,25.52,8.68,60.8,62.4
277.4,154.4,2,3,1.915,8.44,42.32,19.32,20.64,45.72,90.24
349.3,509.2,2,1,3.4210000000000003,9.8,52.4,14.8,20.44,34.32,134.4
169.5,322.7,1,1,1.835,5.88,35.08,10.88,21.44,56.68,97.48
440.9,108.4,3,5,1.77,17.32,37.72,18.92,27.0,48.8,89.2
259.6,321.2,2,3,3.995,8.64,49.72,15.92,22.0,45.16,118.24
189.7,122.0,3,1,0.26,3.48,16.24,9.24,4.76,27.0,27.2
208.3,169.5,1,2,0.44,6.0,29.28,11.28,16.68,56.4,54.8
367.3,427.80000000000007,2,3,1.015,9.28,44.0,7.36,19.28,34.0,70.4
273.1,300.2,1,2,0.485,9.0,27.32,6.6,20.92,32.44,57.96
426.39999999999986,339.1,3,2,2.8280000000000003,11.16,32.64,79.2,24.96,135.2,132.8
379.2,270.7,1,2,1.38,8.16,26.92,6.44,17.12,45.6,55.2
339.0,104.8,2,2,1.66,10.12,42.92,24.6,29.32,57.28,123.32
318.4,507.5,3,3,0.685,7.08,33.76,11.36,16.32,23.68,53.6
364.4,267.7,1,2,0.93,9.56,37.4,6.772,23.12,51.2,56.4
350.4,513.0,2,1,5.129,8.6,39.24,14.76,18.28,36.8,135.6
224.2,303.6,3,3,0.725,10.32,26.32,17.0,12.72,34.08,56.72
333.2,462.8,2,5,0.74,4.52,35.92,96.0,17.2,59.2,83.2
349.8,319.6,2,2,0.99,15.12,32.8,14.5,22.92,36.24,65.6
188.3,117.6,3,1,0.195,3.92,21.8,25.12,7.52,49.6,43.2
332.2,300.1,3,5,1.34,14.32,35.0,25.3,23.12,44.4,81.2
104.7,192.2,2,3,1.24,14.2,43.6,18.32,22.52,52.0,83.2
384.3,312.1,3,5,1.84,10.8,39.52,33.32,35.28,44.4,86.0
130.1,59.9,4,3,0.91,13.24,32.84,21.2,18.0,64.8,75.2
110.6,154.8,2,3,1.27,9.16,52.8,19.12,19.44,65.2,65.2
111.4,153.5,2,3,1.48,9.12,58.8,106.8,26.16,226.4,140.4
151.1,73.4,2,1,1.245,7.84,47.2,22.64,21.96,64.4,71.2
131.7,150.1,3,5,1.385,6.44,42.8,120.8,19.64,66.4,94.8
143.9,152.3,3,5,1.72,7.24,54.8,16.4,16.52,52.4,75.6
165.1,115.7,4,1,0.525,3.88,20.84,26.28,8.36,46.4,49.6
170.1,116.9,3,1,0.69,4.24,23.48,17.04,9.04,52.4,45.6
185.7,65.9,2,3,3.53,10.08,52.8,66.0,24.44,118.0,124.8
134.6,195.4,2,3,0.93,10.56,39.04,9.0,20.24,38.12,69.2
135.4,196.6,2,3,1.165,10.72,43.6,8.64,24.0,38.32,59.6
135.0,197.0,2,3,3.81,10.12,60.8,17.92,27.08,64.8,102.0
193.2,100.4,3,1,0.135,4.52,15.08,10.44,5.24,37.0,32.56
183.7,103.7,3,1,0.215,3.88,23.0,23.44,8.16,46.8,44.0
169.0,185.8,3,3,1.775,12.96,38.72,29.76,22.36,54.8,91.6
172.0,183.3,3,3,0.585,11.6,31.68,24.36,15.96,50.0,76.8
154.3,253.7,3,2,1.5630000000000002,10.4,45.2,26.72,28.72,52.4,104.0
235.3,127.4,3,1,0.275,4.32,15.4,8.24,4.2,32.56,37.88
188.9,246.2,1,2,2.505,10.2,48.4,12.16,31.04,65.2,78.4
232.7,241.7,3,5,1.385,9.68,39.72,58.72,22.6,116.48,123.0
250.4,196.5,2,2,1.79,10.44,41.84,19.92,25.64,62.36,80.32
259.9,199.6,3,2,2.115,13.16,43.08,61.32,53.2,172.12,133.88
256.1,198.4,2,2,1.63,13.56,51.36,18.08,42.92,63.16,77.4
289.8,127.4,3,1,2.7,6.52,32.76,15.56,15.0,38.28,99.6
290.2,126.29999999999998,3,1,4.495,10.32,39.16,10.24,22.64,32.92,101.68
308.5,121.4,3,3,0.765,7.68,18.52,37.6,11.28,68.4,86.2
304.6,120.5,3,3,0.4,11.16,21.64,9.6,13.36,32.76,44.0
302.5,120.09999999999998,3,3,0.32,5.6,18.52,12.92,7.2,40.2,43.72
204.0,315.3,3,1,0.655,5.0,16.56,17.2,8.24,41.88,51.24
223.4,273.7,2,2,1.11,14.6,39.28,10.28,24.44,47.8,71.12
222.00000000000003,273.2,2,2,0.77,12.28,43.48,16.0,23.88,44.4,62.28
222.40000000000003,272.8,2,2,1.205,13.8,46.84,11.36,27.44,41.04,85.52
258.0,231.1,2,2,1.555,8.84,40.16,15.4,23.92,51.24,77.56
225.4,304.5,3,3,0.575,9.68,27.12,31.8,13.2,54.28,66.92
265.6,265.6,3,2,0.525,12.52,26.12,79.2,18.0,138.56,91.48
346.5,139.3,3,3,0.705,12.52,28.72,48.72,17.6,86.68,96.6
255.3,331.4,3,3,0.99,8.8,38.72,9.28,15.72,38.0,60.12
253.8,331.4,3,3,1.655,8.96,50.6,31.52,17.32,90.36,81.6
240.2,397.9,3,1,0.515,4.08,30.12,13.12,8.2,26.96,43.2
245.6,399.0,3,1,0.35,3.272,26.32,11.6,4.92,27.68,37.16
253.7,376.8,3,1,0.23,3.792,18.2,8.72,5.68,26.84,32.08
258.4,364.9,3,5,0.305,3.72,18.0,17.12,5.6,48.4,44.8
388.7,166.3,3,2,1.535,15.2,40.72,29.6,32.4,56.8,85.6
441.2,108.8,3,5,1.53,17.72,39.52,17.72,26.4,47.6,80.8
279.5,364.5,3,5,0.3,4.24,17.32,13.4,6.32,37.76,27.12
283.7,367.9,3,5,0.425,5.08,22.72,4.68,8.0,22.56,31.48
283.2,367.6,3,5,0.36,6.68,26.12,4.44,11.8,18.96,28.92
330.8,296.3,3,5,1.06,17.32,36.0,28.0,23.92,50.0,78.4
342.2,285.1,3,3,0.9,9.52,38.72,49.0,26.2,70.4,94.8
369.2,243.00000000000003,1,2,1.61,5.0,19.4,9.44,8.76,42.8,31.16
433.1,144.9,3,5,0.95,12.0,29.2,19.6,18.72,37.88,61.2
433.3,145.5,3,5,0.82,10.32,29.8,32.1,16.72,63.2,67.6
450.2,116.7,3,5,0.86,12.12,28.4,12.7,20.12,37.08,61.6
322.8,361.7,3,2,1.835,13.32,47.4,45.92,24.0,80.4,90.0
376.8,277.5,1,2,0.22,10.8,26.32,6.6720000000000015,17.52,31.88,45.2
376.8,267.5,1,2,1.095,12.12,41.32,6.2,28.8,46.8,56.8
379.8,269.4,1,2,0.995,9.68,32.8,5.38,19.12,51.2,54.0
459.0,141.4,3,2,0.96,11.72,35.2,16.4,21.92,30.76,64.8
457.10000000000014,140.7,3,2,1.4,10.72,38.64,15.24,26.4,38.4,70.8
474.5,137.2,3,2,0.69,11.96,35.64,16.44,23.68,34.12,66.4
478.8,164.7,3,2,0.72,8.8,34.08,11.4,26.72,32.68,63.2
297.4,493.7000000000001,2,1,2.26,5.88,36.44,12.64,21.52,36.28,77.6
290.6,492.2,1,1,1.13,4.32,20.32,5.92,13.2,21.6,32.84
310.9,472.9,3,1,0.645,3.124,22.68,8.4,8.88,28.56,42.4
304.0,471.3,3,1,0.63,3.668,23.96,7.24,9.36,26.0,36.64
391.9,346.6,3,5,0.86,9.76,28.4,12.8,17.48,28.6,58.8
418.9,304.5,3,4,1.645,8.08,46.4,35.6,20.32,67.6,90.4
365.2,431.2000000000001,1,3,3.149,10.72,51.2,8.24,27.72,56.0,98.0
389.4,380.5,3,5,0.552,14.32,29.0,50.0,20.12,91.2,79.2
391.7,377.3,3,5,1.568,13.56,30.36,18.4,22.28,43.6,71.6
392.5,377.9,3,5,0.855,14.24,29.2,11.4,21.0,29.68,59.6
425.2,329.2,3,2,0.733,11.8,26.0,39.2,22.24,65.6,74.0
429.2,329.0,3,2,2.08,11.92,31.68,71.6,28.64,52.8,110.8
428.3,327.8,3,2,0.8440000000000001,13.88,37.12,21.04,26.48,34.68,90.0
353.0,499.9,1,1,0.49,7.44,34.52,4.64,16.76,31.64,56.8
407.0,415.7,3,3,1.916,14.36,47.6,45.6,28.44,50.0,90.8
461.00000000000006,331.5,1,2,1.384,12.68,30.76,7.48,20.72,48.0,46.8
360.5,534.5,3,3,0.8490000000000001,9.04,29.48,18.4,17.56,35.0,58.0
